CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,2,-,3,-,"2,187.60",-14.45,100,"2,208.50","2,262.30",250,"16,100.00","1,32,950",0.15,0.20,"1,78,050",-0.25,0.15,80.26,"42,028","-11,845","21,777",
,-,-,-,-,-,-,"1,800","2,152.80","2,222.55","1,800","16,150.00","10,950",0.20,0.30,350,-0.25,0.25,81.23,749,337,"2,002",
,4,-,-,-,-,-,200,"2,104.80","2,164.70",200,"16,200.00","14,850",0.20,0.25,"10,800",-0.25,0.20,79.41,"1,831",-54,"4,568",
,-,-,-,-,-,-,"1,800","2,054.30","2,122.45","1,800","16,250.00","27,100",0.20,0.30,"1,000",-0.25,0.20,77.59,"1,662",-77,"1,320",
,-,-,-,-,-,-,200,"2,014.20","2,063.70",200,"16,300.00",50,0.25,0.30,"5,500",-0.20,0.25,75.77,"1,290",-2,"1,624",
,-,-,-,-,-,-,"1,800","1,952.30","2,022.25","1,800","16,350.00",200,0.30,0.40,600,-0.20,0.35,74.98,210,25,543,
,-,-,-,-,-,-,"1,800","1,904.30","1,975.35","1,800","16,400.00","2,700",0.30,0.35,"25,350",-0.25,0.30,73.15,"2,289",-383,"1,031",
,-,-,-,-,-,-,"1,800","1,853.65","1,922.40","1,800","16,450.00",350,0.30,0.40,200,-0.25,0.35,72.20,365,22,482,
,86,-39,41,-,"1,830.00",9.50,50,"1,824.00","1,848.85","2,800","16,500.00","15,200",0.35,0.40,"24,850",-0.30,0.35,70.35,"80,859","-33,522","31,008",
,1,-,-,-,-,-,50,"1,764.55","1,815.10",50,"16,550.00",100,0.35,0.45,400,-0.25,0.40,68.51,486,7,249,
,16,-,-,-,-,-,50,"1,714.65","1,764.80",50,"16,600.00","11,850",0.35,0.40,"11,400",-0.25,0.40,66.66,"4,224",-404,"4,256",
,-,-,-,-,-,-,"1,800","1,651.85","1,715.15","1,800","16,650.00",200,0.30,0.50,400,-0.25,0.40,65.55,654,-196,596,
,20,-,9,-,"1,600.00",50.00,200,"1,615.05","1,663.40",50,"16,700.00","6,100",0.40,0.50,"7,650",-0.30,0.45,64.35,"6,190",86,"4,517",
,7,-,-,-,-,-,100,"1,564.50","1,614.80",100,"16,750.00",200,0.40,0.50,350,-0.25,0.45,61.83,620,-72,204,
,71,-,14,-,"1,500.20",40.20,200,"1,520.00","1,557.20",100,"16,800.00","12,650",0.50,0.55,"10,900",-0.10,0.60,61.18,"12,261","-4,385","6,624",
,1,-,-,-,-,-,50,"1,470.70","1,498.40",50,"16,850.00","2,450",0.45,0.60,200,-0.10,0.55,59.29,512,-28,357,
,45,-6,25,61.64,"1,432.00",52.00,400,"1,436.75","1,451.80",200,"16,900.00","11,300",0.55,0.60,"11,400",-0.10,0.60,58.40,"3,278",-118,"4,593",
,11,-,-,-,-,-,300,"1,370.00","1,397.60",550,"16,950.00","5,850",0.55,0.65,500,-0.20,0.60,56.02,"1,747",-127,"1,270",
,620,-370,"1,064",68.46,"1,335.05",10.65,"6,400","1,335.05","1,348.50",100,"17,000.00","3,750",0.60,0.65,"12,450",-0.15,0.60,54.57,"90,304","-23,900","39,027",
,8,-,-,-,-,-,50,"1,274.65","1,302.00","1,000","17,050.00","1,600",0.65,0.75,"1,250",-0.20,0.65,52.66,"3,093",-210,"1,056",
,119,-33,45,77.89,"1,244.00",19.75,50,"1,226.90","1,242.65",250,"17,100.00","12,450",0.65,0.70,"10,800",-0.05,0.70,50.75,"19,595",-250,"6,892",
,192,-4,25,70.20,"1,190.00",85.00,50,"1,175.15","1,192.40",200,"17,150.00","4,350",0.70,0.75,"4,100",-0.15,0.70,49.60,"14,250","1,074","2,523",
,280,-64,187,79.78,"1,151.50",25.95,100,"1,138.15","1,141.50",100,"17,200.00","21,100",0.70,0.75,"12,000",-0.05,0.70,47.65,"43,887",-970,"16,859",
,241,99,549,47.10,"1,082.00",57.00,100,"1,087.20","1,094.75",100,"17,250.00","10,100",0.70,0.75,650,-0.20,0.70,45.71,"14,853","-1,050","2,298",
,448,-113,215,59.73,"1,038.00",15.05,100,"1,038.10","1,041.55",250,"17,300.00","10,600",0.70,0.75,"3,350",-0.15,0.70,43.77,"72,111","8,734","33,074",
,271,-14,37,-,980.00,19.75,400,988.40,991.90,200,"17,350.00","8,550",0.75,0.80,"3,800",-0.20,0.75,42.13,"17,265",681,"4,302",
,407,-104,164,44.04,935.60,16.50,400,940.10,941.80,50,"17,400.00","9,950",0.75,0.80,"22,000",-0.20,0.75,40.17,"1,02,648","12,932","45,923",
,182,-22,35,45.31,884.00,8.15,200,888.75,892.20,200,"17,450.00","10,600",0.80,0.85,"1,100",-0.15,0.80,38.47,"17,276",-423,"5,826",
,"2,032",-700,"1,302",45.06,835.00,16.20,450,840.20,841.60,150,"17,500.00","1,36,500",0.85,0.90,"1,01,200",-0.15,0.90,36.49,"2,48,907","15,997","98,087",
,178,-145,284,38.28,786.95,21.00,450,790.30,791.75,50,"17,550.00","25,100",0.90,0.95,"10,800",-0.20,0.90,34.74,"37,926","-1,833","8,210",
,"1,082","-1,208","1,644",42.13,738.00,21.90,400,740.45,741.75,200,"17,600.00","54,650",0.95,1.00,"56,050",-0.20,0.95,33.17,"1,78,115",823,"62,879",
,381,-97,134,38.64,685.45,32.05,500,690.30,691.65,500,"17,650.00","13,150",0.95,1.00,"15,800",-0.25,0.95,31.14,"47,757","-2,318","17,303",
,"4,232",-241,683,35.60,638.80,22.60,500,640.85,642.10,500,"17,700.00","2,21,800",1.00,1.05,"57,700",-0.35,1.00,29.28,"2,03,675","7,799","72,056",
,213,-27,123,-,587.00,16.15,500,590.30,591.50,200,"17,750.00","26,750",1.05,1.10,"52,700",-0.40,1.05,27.38,"84,782","-2,915","25,868",
,"2,605",-248,"1,076",29.87,537.15,20.80,500,540.90,541.95,500,"17,800.00","28,650",1.15,1.20,"1,15,550",-0.50,1.15,25.60,"4,39,577","36,043","1,65,279",
,810,-96,304,27.01,491.40,24.00,550,490.80,491.85,500,"17,850.00","45,050",1.15,1.20,"43,650",-0.60,1.15,23.34,"1,34,337","3,103","30,730",
,"4,425",-217,"3,569",22.27,440.00,20.30,500,441.00,441.90,100,"17,900.00","2,31,200",1.15,1.20,"31,050",-1.00,1.15,21.47,"4,81,109","9,284","1,04,064",
,"1,138",-183,"1,263",24.51,392.00,22.05,500,391.00,391.80,100,"17,950.00","36,100",1.25,1.30,"99,950",-1.20,1.25,19.42,"2,66,193","-4,281","55,195",
,"10,660","-3,428","24,202",20.62,341.05,24.55,200,340.70,341.25,200,"18,000.00","1,26,150",1.40,1.45,"52,700",-1.60,1.40,17.51,"9,28,340","43,159","2,03,805",
,"6,609",-275,"8,420",15.08,291.25,20.15,250,290.85,291.35,300,"18,050.00","58,800",1.50,1.55,"1,19,000",-2.30,1.50,15.41,"6,08,108","7,341","79,781",
,"33,419",-386,"71,159",16.35,241.30,18.20,250,241.30,241.75,150,"18,100.00","30,350",1.65,1.70,"1,26,700",-3.75,1.65,13.43,"14,38,196","60,031","2,30,062",
,"18,291","2,735","1,38,539",13.55,192.25,16.75,300,191.85,192.20,250,"18,150.00","31,200",2.00,2.05,"36,450",-6.25,2.00,11.39,"17,72,375","49,938","1,48,724",
,"1,05,795","6,834","7,37,271",11.38,143.30,12.75,50,142.95,143.25,100,"18,200.00","10,350",3.05,3.10,"29,400",-10.60,3.05,9.78,"34,53,287","1,24,012","3,55,253",
,"74,475","15,563","9,95,442",9.82,96.10,5.75,500,96.10,96.35,"1,250","18,250.00","2,500",5.95,6.00,"16,400",-17.05,5.95,8.57,"35,90,618","1,45,108","2,57,629",
,"2,75,832","1,24,550","36,80,861",8.80,55.15,-2.10,"1,600",55.00,55.15,400,"18,300.00","1,700",15.10,15.15,"2,300",-24.50,15.10,7.84,"51,66,135","2,10,417","3,82,470",
,"3,65,800","2,14,472","42,52,036",8.12,24.75,-8.00,"1,050",24.70,24.75,450,"18,350.00",650,34.25,34.35,650,-30.00,34.25,7.13,"24,49,926","1,07,364","1,42,130",
,"4,45,783","2,48,516","45,44,680",7.95,8.40,-7.80,"21,400",8.30,8.35,100,"18,400.00",50,67.90,68.00,150,-29.70,67.90,6.15,"14,32,804","63,809","83,620",
,"2,77,729","1,37,129","31,54,011",7.91,2.00,-5.15,"63,550",1.95,2.00,"33,700","18,450.00","1,200",112.00,112.30,100,-26.60,112.00,-,"2,91,187","17,934","22,430",
,"3,36,107","99,524","17,94,952",9.16,1.00,-2.25,"4,93,300",1.00,1.05,"2,36,600","18,500.00",200,160.50,160.85,50,-24.60,160.60,-,"2,07,147","8,781","17,885",
,"1,17,732","28,377","6,36,791",11.07,0.90,-0.70,"1,41,800",0.85,0.90,"76,150","18,550.00",50,210.30,210.80,500,-22.90,209.90,-,"18,683","1,440","2,086",
,"1,65,170","32,713","6,93,247",13.05,0.80,-0.25,"1,30,100",0.75,0.80,"2,32,200","18,600.00",950,260.15,260.85,550,-22.35,260.55,-,"13,166",-71,"1,973",
,"76,126","37,928","2,97,437",15.09,0.70,-0.15,"85,600",0.70,0.75,"64,100","18,650.00",50,310.10,310.80,500,-21.90,310.35,-,"4,115",325,438,
,"1,39,449","43,568","4,36,239",16.93,0.70,-,"3,10,050",0.65,0.70,"1,88,350","18,700.00",250,359.80,360.60,500,-23.65,360.00,-,"3,448",77,655,
,"52,692","11,678","1,09,234",18.70,0.70,0.10,"50,750",0.65,0.70,"29,700","18,750.00",100,409.40,411.30,50,-15.75,410.30,-,264,25,110,
,"1,61,406","32,822","3,19,939",20.61,0.70,0.10,"42,850",0.65,0.70,"82,200","18,800.00",500,460.40,461.35,100,-20.30,461.00,19.70,321,-15,821,
,"24,214","3,260","79,144",22.27,0.55,0.05,"24,900",0.50,0.55,"7,800","18,850.00",50,509.00,511.55,50,-14.75,522.45,29.35,2,-,15,
,"43,429","4,143","1,12,209",23.86,0.50,-,"2,74,400",0.50,0.55,"41,700","18,900.00",50,559.15,561.80,50,-11.60,575.40,35.14,10,-2,68,
,"7,621","1,623","26,829",25.67,0.55,0.05,"9,100",0.50,0.55,"6,100","18,950.00",50,608.80,612.10,200,-7.25,622.00,33.21,1,-,6,
,"1,17,876","11,742","1,92,575",27.17,0.55,0.05,"58,350",0.50,0.55,"1,81,300","19,000.00",500,660.00,661.30,500,-14.05,665.00,-,247,-63,322,
,"8,522","6,013","30,776",28.92,0.55,0.05,550,0.50,0.55,"9,800","19,050.00","4,800",701.65,715.05,50,-,-,-,-,-,12,
,"89,168",-231,"1,01,310",30.31,0.50,0.10,"54,350",0.45,0.50,"29,750","19,100.00",100,758.70,762.90,50,-15.90,759.45,-,5,-1,70,
,"3,682","1,119","18,057",32.39,0.50,0.05,"14,050",0.45,0.50,"10,400","19,150.00",200,807.25,813.55,50,-,-,-,-,-,10,
,"35,282","11,099","1,09,179",33.31,0.40,0.05,"1,16,250",0.35,0.40,"32,150","19,200.00",50,858.00,861.85,200,-44.95,860.45,-,4,1,22,
,"6,861","2,703","19,414",35.80,0.45,0.05,"4,300",0.40,0.45,"11,300","19,250.00","1,750",903.65,919.15,450,-,-,-,-,-,20,
,"35,250","-1,509","52,731",36.63,0.40,0.10,"26,150",0.35,0.40,"38,650","19,300.00","1,750",953.15,974.40,"3,250",-,-,-,-,-,81,
,"3,839","1,148","17,125",38.27,0.35,0.05,"16,950",0.30,0.35,"1,150","19,350.00","2,200","1,000.20","1,027.70","1,250",-,-,-,-,-,5,
,"9,628","1,746","32,201",38.78,0.35,0.05,"25,100",0.30,0.35,"26,000","19,400.00","1,250","1,048.90","1,080.55","2,200",-,-,-,-,-,-,
,"4,526","1,118","19,430",40.98,0.35,-0.10,"9,700",0.30,0.35,"7,100","19,450.00",250,"1,102.15","1,126.25",50,-,-,-,-,-,4,
,"46,969","-8,341","74,722",41.23,0.25,-0.05,"4,15,350",0.20,0.25,"1,52,200","19,500.00","2,000","1,152.30","1,174.90","2,150",-26.40,"1,155.00",-,3,-,16,
,"5,331",-810,"16,914",42.77,0.25,-0.05,"71,850",0.20,0.25,"25,650","19,550.00",100,"1,198.75","1,225.50",300,-,-,-,-,-,-,
,"23,313","-2,020","25,885",44.31,0.25,-0.10,"44,000",0.20,0.25,"9,550","19,600.00",100,"1,248.70","1,276.65",100,-,-,-,-,-,-,
,"4,486",178,"3,920",44.92,0.25,-0.05,"63,350",0.20,0.25,"14,350","19,650.00",100,"1,298.60","1,329.35",100,-,-,-,-,-,-,
,"21,329",-38,"27,042",45.28,0.20,-0.05,"1,88,850",0.15,0.20,"2,45,150","19,700.00",250,"1,348.60","1,379.30",250,-,-,-,-,-,-,
,"9,471",-190,"10,433",47.90,0.25,0.05,50,0.20,0.25,"24,950","19,750.00",100,"1,398.45","1,429.40",100,-,-,-,-,-,-,
,"1,332",-,"3,918",48.17,0.20,-8.05,"24,600",0.15,0.20,400,"19,800.00",100,"1,453.30","1,479.40",100,-,-,-,-,-,-,
